Network Intrusion Detection Using Improved Genetic k-means Algorithm,J. V. Anand Sukumar; I. Pranav; M. Neetish; J. Narayanan,2018
Intrusion detection system combining misuse detection and anomaly detection using Genetic Network Programming,Yunlu Gong; Shingo Mabu; C. Chen; Yifei Wang; K. Hirasawa,2009
Unsupervised outlier detection technique for intrusion detection in cloud computing,M. Kumar; R. Mathur,2014
